frequency_score,sentiment_score,value,company
0.1,1.3,Innovation,Bloomberg L.P.
-0.8,-1.8,Integrity,Bloomberg L.P.
-0.2,0.4,Performance,Bloomberg L.P.
-0.5,-1,Respect,Bloomberg L.P.
0.2,-1,Agility,Bloomingdale‰Ûªs
0.8,1.1,Collaboration,Bloomingdale‰Ûªs
1.2,1.1,Customer,Bloomingdale‰Ûªs
-0.7,1,Diversity,Bloomingdale‰Ûªs
0.9,0.7,Execution,Bloomingdale‰Ûªs
-1.7,0.6,Innovation,Bloomingdale‰Ûªs
-0.4,-1.1,Integrity,Bloomingdale‰Ûªs
-1.3,-1.2,Performance,Bloomingdale‰Ûªs
1.1,-1.2,Respect,Bloomingdale‰Ûªs
2,-1.3,Agility,Bristol-Myers Squibb
1,0.5,Collaboration,Bristol-Myers Squibb
-0.5,2.1,Customer,Bristol-Myers Squibb
-0.8,-0.3,Diversity,Bristol-Myers Squibb
0.3,-0.3,Execution,Bristol-Myers Squibb
0.7,1.1,Innovation,Bristol-Myers Squibb
-1.1,-0.5,Integrity,Bristol-Myers Squibb
-0.8,-0.6,Performance,Bristol-Myers Squibb
-0.8,-0.6,Respect,Bristol-Myers Squibb
2.2,-1.2,Agility,BNY Mellon
0.6,0.3,Collaboration,BNY Mellon
-1,0.9,Customer,BNY Mellon
-0.8,1.4,Diversity,BNY Mellon
0.6,0,Execution,BNY Mellon
-0.9,1.4,Innovation,BNY Mellon
-0.6,-0.6,Integrity,BNY Mellon
0.5,-1.4,Performance,BNY Mellon
-0.6,-0.8,Respect,BNY Mellon
2.6,-1.4,Agility,Boeing
-0.1,0.7,Collaboration,Boeing
-1.1,1.1,Customer,Boeing
-0.6,0.7,Diversity,Boeing
0.5,-0.3,Execution,Boeing
-0.2,1.7,Innovation,Boeing
-0.4,-0.6,Integrity,Boeing
-0.1,-0.9,Performance,Boeing
-0.6,-0.9,Respect,Boeing
1.9,-1.4,Agility,Booz Allen Hamilton
1.2,0.8,Collaboration,Booz Allen Hamilton
0.3,0.4,Customer,Booz Allen Hamilton
-1,1.7,Diversity,Booz Allen Hamilton
0.4,0,Execution,Booz Allen Hamilton
-0.9,0.9,Innovation,Booz Allen Hamilton
-0.2,-0.2,Integrity,Booz Allen Hamilton
-0.3,-1.1,Performance,Booz Allen Hamilton
-1.3,-1.1,Respect,Booz Allen Hamilton
2.4,-1.7,Agility,Bose
0.2,1.4,Collaboration,Bose
-0.2,1.3,Customer,Bose
-1,-0.7,Diversity,Bose
0.1,-0.3,Execution,Bose
0.8,1,Innovation,Bose
-0.6,0.1,Integrity,Bose
-0.9,-0.9,Performance,Bose
-0.8,-0.1,Respect,Bose
1.9,-1.3,Agility,Boston Scientific
0.6,0.6,Collaboration,Boston Scientific
-0.5,1.8,Customer,Boston Scientific
-0.9,0.4,Diversity,Boston Scientific
1.1,-0.4,Execution,Boston Scientific
0.4,1.3,Innovation,Boston Scientific
-1.1,-0.8,Integrity,Boston Scientific
-0.5,-0.6,Performance,Boston Scientific
-1.1,-1,Respect,Boston Scientific
2.4,-1.6,Agility,BP
0.1,0.8,Collaboration,BP
-1.2,1,Customer,BP
-0.1,1.4,Diversity,BP
0.7,-0.9,Execution,BP
-0.9,1,Innovation,BP
-0.1,-0.5,Integrity,BP
-0.4,-1,Performance,BP
-0.5,-0.1,Respect,BP
1.4,-1,Agility,Broadcom
0.6,0.1,Collaboration,Broadcom
-1.2,-0.3,Customer,Broadcom
-0.9,0.1,Diversity,Broadcom
0.5,0,Execution,Broadcom
1.7,2.5,Innovation,Broadcom
-0.7,-0.7,Integrity,Broadcom
-0.6,0.3,Performance,Broadcom
-0.8,-1,Respect,Broadcom
1.5,-1.7,Agility,Brocade Communications Systems
1.3,0.9,Collaboration,Brocade Communications Systems
-0.9,1.2,Customer,Brocade Communications Systems
-1,-0.9,Diversity,Brocade Communications Systems
0.4,-0.3,Execution,Brocade Communications Systems
1,1,Innovation,Brocade Communications Systems
-0.8,-1.1,Integrity,Brocade Communications Systems
-0.7,0.6,Performance,Brocade Communications Systems
-0.9,0.3,Respect,Brocade Communications Systems
-0.2,-0.8,Agility,Brookdale Senior Living
0.7,1.9,Collaboration,Brookdale Senior Living
-0.4,0.9,Customer,Brookdale Senior Living
-1.1,-0.7,Diversity,Brookdale Senior Living
1.6,-0.9,Execution,Brookdale Senior Living
-1.3,1.2,Innovation,Brookdale Senior Living
0.9,-0.6,Integrity,Brookdale Senior Living
-1.1,-0.2,Performance,Brookdale Senior Living
0.9,-0.8,Respect,Brookdale Senior Living
-0.8,-0.3,Agility,Burger King
0.3,1.6,Collaboration,Burger King
1.5,1.6,Customer,Burger King
-0.7,-0.1,Diversity,Burger King
0.2,-1,Execution,Burger King
-1.3,0.5,Innovation,Burger King
0,-1.1,Integrity,Burger King
-0.9,-0.1,Performance,Burger King
1.8,-1.2,Respect,Burger King
-0.6,-0.5,Agility,Burlington Stores
0.6,1.4,Collaboration,Burlington Stores
0.5,1.7,Customer,Burlington Stores
-0.7,0,Diversity,Burlington Stores
1,-0.9,Execution,Burlington Stores
-1.6,0.7,Innovation,Burlington Stores
0.2,-1,Integrity,Burlington Stores
-1.1,-0.4,Performance,Burlington Stores
1.7,-1.1,Respect,Burlington Stores
1,0.2,Agility,C.H. Robinson
1.1,1,Collaboration,C.H. Robinson
-0.6,0.3,Customer,C.H. Robinson
-1,-0.3,Diversity,C.H. Robinson
1.8,0.3,Execution,C.H. Robinson
-1.3,1.6,Innovation,C.H. Robinson
-0.6,-1.9,Integrity,C.H. Robinson
-0.2,0,Performance,C.H. Robinson
-0.2,-1.2,Respect,C.H. Robinson
2.1,-1.3,Agility,CA Technologies
0.3,0.4,Collaboration,CA Technologies
-0.7,1.4,Customer,CA Technologies
-1,1.2,Diversity,CA Technologies
0.7,-0.7,Execution,CA Technologies
0.7,1,Innovation,CA Technologies
-0.9,0.1,Integrity,CA Technologies
-0.5,-1.1,Performance,CA Technologies
-0.9,-1.1,Respect,CA Technologies
0.9,-0.6,Agility,Cablevision Systems
0.3,-0.1,Collaboration,Cablevision Systems
0.2,0.1,Customer,Cablevision Systems
-1.6,1,Diversity,Cablevision Systems
1.8,-1,Execution,Cablevision Systems
-1.1,2.2,Innovation,Cablevision Systems
-0.7,-1.2,Integrity,Cablevision Systems
-0.5,0.3,Performance,Cablevision Systems
0.7,-0.7,Respect,Cablevision Systems
0.7,-1.3,Agility,CACI International
-0.1,0.6,Collaboration,CACI International
-0.1,0.9,Customer,CACI International
-1.4,0.3,Diversity,CACI International
1.6,0.7,Execution,CACI International
-1.3,1,Innovation,CACI International
1.3,0.6,Integrity,CACI International
-0.3,-1.6,Performance,CACI International
-0.4,-1.2,Respect,CACI International
0.3,-0.9,Agility,Caesars Entertainment
0.6,0.9,Collaboration,Caesars Entertainment
0.9,1.6,Customer,Caesars Entertainment
-0.9,1,Diversity,Caesars Entertainment
1,-0.7,Execution,Caesars Entertainment
-2,0.5,Innovation,Caesars Entertainment
0.3,-1.3,Integrity,Caesars Entertainment
-1.1,0,Performance,Caesars Entertainment
0.9,-1.1,Respect,Caesars Entertainment
2.2,-0.8,Agility,Campbell Soup Company
0.4,1.4,Collaboration,Campbell Soup Company
-1.2,1,Customer,Campbell Soup Company
-0.3,1.6,Diversity,Campbell Soup Company
1,-0.9,Execution,Campbell Soup Company
-0.2,-0.5,Innovation,Campbell Soup Company
-0.6,0.1,Integrity,Campbell Soup Company
-0.3,-0.9,Performance,Campbell Soup Company
-1,-1,Respect,Campbell Soup Company
1.8,-0.6,Agility,Capgemini
0.5,0.5,Collaboration,Capgemini
-0.1,0.3,Customer,Capgemini
-1.3,1.7,Diversity,Capgemini
1.2,-0.2,Execution,Capgemini
-0.3,1.5,Innovation,Capgemini
-0.8,-1.2,Integrity,Capgemini
0.1,-1.1,Performance,Capgemini
-1.3,-1,Respect,Capgemini
2.3,-1.7,Agility,Capital Group
0.8,1,Collaboration,Capital Group
-1.1,1.4,Customer,Capital Group
-0.8,0.2,Diversity,Capital Group
0.6,-1.3,Execution,Capital Group
-1,-0.6,Innovation,Capital Group
-0.3,0.1,Integrity,Capital Group
-0.5,0,Performance,Capital Group
-0.1,0.9,Respect,Capital Group
1.8,-1.1,Agility,Capital One
0.7,0.1,Collaboration,Capital One
-0.6,1,Customer,Capital One
-1,0.6,Diversity,Capital One
0.2,-0.6,Execution,Capital One
-0.5,2,Innovation,Capital One
-0.5,-0.1,Integrity,Capital One
1.1,-1.1,Performance,Capital One
-1.3,-0.8,Respect,Capital One
0,-0.8,Agility,Carnival
1.2,1,Collaboration,Carnival
0.2,0.2,Customer,Carnival
-0.2,2.2,Diversity,Carnival
1,-0.4,Execution,Carnival
-1.7,0.2,Innovation,Carnival
-1,-1.1,Integrity,Carnival
-0.7,-0.1,Performance,Carnival
1.3,-1,Respect,Carnival
1.7,-1.1,Agility,CBS Interactive
1.2,1,Collaboration,CBS Interactive
-0.9,0.6,Customer,CBS Interactive
-0.9,0.6,Diversity,CBS Interactive
1.2,0.4,Execution,CBS Interactive
-0.1,1.6,Innovation,CBS Interactive
-0.7,-1.2,Integrity,CBS Interactive
-0.9,-1,Performance,CBS Interactive
-0.5,-0.9,Respect,CBS Interactive
1.5,-0.5,Agility,CDK Global
0.5,1.1,Collaboration,CDK Global
1,-0.2,Customer,CDK Global
-1.7,-0.1,Diversity,CDK Global
0.8,-0.3,Execution,CDK Global
-0.4,2.2,Innovation,CDK Global
0,-1,Integrity,CDK Global
-0.8,-0.1,Performance,CDK Global
-1,-1.2,Respect,CDK Global
1,-1.1,Agility,CDW
0.9,0.7,Collaboration,CDW
0,1.1,Customer,CDW
-1.1,-0.5,Diversity,CDW
1.9,0.1,Execution,CDW
-0.9,2,Innovation,CDW
-0.7,-0.8,Integrity,CDW
-0.2,-0.9,Performance,CDW
-1,-0.6,Respect,CDW
0.9,-0.2,Agility,Centene
0.5,-0.1,Collaboration,Centene
-1.3,0.5,Customer,Centene
-0.7,0.4,Diversity,Centene
1.7,-0.5,Execution,Centene
-1.2,2.4,Innovation,Centene
0.2,-1,Integrity,Centene
-0.8,-0.5,Performance,Centene
0.7,-1.1,Respect,Centene
1.6,-0.9,Agility,CenturyLink
0.2,0.9,Collaboration,CenturyLink
1,-0.1,Customer,CenturyLink
-1.4,0.5,Diversity,CenturyLink
1.1,-0.1,Execution,CenturyLink
-0.8,2.2,Innovation,CenturyLink
-0.1,-0.8,Integrity,CenturyLink
-1,-0.6,Performance,CenturyLink
-0.7,-1.2,Respect,CenturyLink
1.6,-0.9,Agility,Ceridian
0.8,0.6,Collaboration,Ceridian
1.1,1.2,Customer,Ceridian
-1.5,0.2,Diversity,Ceridian
0.5,-1.1,Execution,Ceridian
0,1.7,Innovation,Ceridian
-0.7,0,Integrity,Ceridian
-0.7,-0.1,Performance,Ceridian
-1.1,-1.6,Respect,Ceridian
1.8,-0.4,Agility,Cerner
0.3,1,Collaboration,Cerner
-0.6,0.3,Customer,Cerner
-1.3,-0.4,Diversity,Cerner
1.4,-0.2,Execution,Cerner
0.4,2.3,Innovation,Cerner
-0.8,-0.9,Integrity,Cerner
-0.1,-1,Performance,Cerner
-0.9,-0.8,Respect,Cerner
0.9,-0.9,Agility,CGI
0.6,1.2,Collaboration,CGI
-0.4,0.3,Customer,CGI
-1.4,1.1,Diversity,CGI
2.1,0.2,Execution,CGI
-1,1.3,Innovation,CGI
-0.4,-1.1,Integrity,CGI
-0.1,-1.5,Performance,CGI
-0.2,-0.7,Respect,CGI
1.8,-1.3,Agility,CH2M
0.2,0.2,Collaboration,CH2M
-0.7,1,Customer,CH2M
-0.6,0.8,Diversity,CH2M
1.4,-0.9,Execution,CH2M
-1.3,1.9,Innovation,CH2M
0.7,-0.2,Integrity,CH2M
-0.8,-0.7,Performance,CH2M
-0.6,-0.7,Respect,CH2M
1.4,-1.3,Agility,Charles Schwab
0.3,0.6,Collaboration,Charles Schwab
1.3,1.7,Customer,Charles Schwab
-1.3,0.5,Diversity,Charles Schwab
0.9,-1,Execution,Charles Schwab
-0.9,-0.4,Innovation,Charles Schwab
0.2,1.3,Integrity,Charles Schwab
-0.9,-0.5,Performance,Charles Schwab
-1,-0.8,Respect,Charles Schwab
0.7,-0.3,Agility,Charter Communications
0.1,0.2,Collaboration,Charter Communications
1,-0.1,Customer,Charter Communications
-1.3,0.6,Diversity,Charter Communications
1.7,-0.7,Execution,Charter Communications
-1.3,2.4,Innovation,Charter Communications
0.3,-0.8,Integrity,Charter Communications
-1,0,Performance,Charter Communications
-0.1,-1.2,Respect,Charter Communications
0.6,-1,Agility,Chase
-0.3,0.4,Collaboration,Chase
1.8,0.6,Customer,Chase
-1.2,1.2,Diversity,Chase
1.4,-1,Execution,Chase
-1.3,1.9,Innovation,Chase
0,-0.7,Integrity,Chase
-0.3,-0.5,Performance,Chase
-0.6,-0.9,Respect,Chase
2.3,-1.5,Agility,Chevron
0.1,0.5,Collaboration,Chevron
-1.3,2,Customer,Chevron
-0.3,0.9,Diversity,Chevron
0.9,-0.5,Execution,Chevron
-0.7,-0.5,Innovation,Chevron
-0.4,-0.2,Integrity,Chevron
0.1,-0.9,Performance,Chevron
-0.7,0.3,Respect,Chevron
0.8,-1.1,Agility,Catholic Health Initiatives
0.5,0.6,Collaboration,Catholic Health Initiatives
0.1,1.7,Customer,Catholic Health Initiatives
-1.2,1.5,Diversity,Catholic Health Initiatives
1.4,-1,Execution,Catholic Health Initiatives
-1.5,-0.1,Innovation,Catholic Health Initiatives
1.1,-0.9,Integrity,Catholic Health Initiatives
-1.1,0,Performance,Catholic Health Initiatives
-0.1,-0.7,Respect,Catholic Health Initiatives
-0.6,-0.7,Agility,Chick-fil-A
0.1,1.5,Collaboration,Chick-fil-A
2.4,1.3,Customer,Chick-fil-A
-0.4,-0.6,Diversity,Chick-fil-A
0,-1.1,Execution,Chick-fil-A
-1.2,1.3,Innovation,Chick-fil-A
0,-0.5,Integrity,Chick-fil-A
-0.9,-0.6,Performance,Chick-fil-A
0.7,-0.7,Respect,Chick-fil-A
-0.6,-0.6,Agility,Chipotle
0.7,1.7,Collaboration,Chipotle
0.2,0.8,Customer,Chipotle
-1.1,-0.7,Diversity,Chipotle
1.5,-0.6,Execution,Chipotle
-1.8,1.5,Innovation,Chipotle
0.5,-0.8,Integrity,Chipotle
-0.5,-0.4,Performance,Chipotle
1,-1,Respect,Chipotle
0.8,-0.3,Agility,Choice Hotels
0.5,0.7,Collaboration,Choice Hotels
1,0.5,Customer,Choice Hotels
-1.2,0.2,Diversity,Choice Hotels
1.4,-0.7,Execution,Choice Hotels
-1.1,2.3,Innovation,Choice Hotels
0.5,-1.2,Integrity,Choice Hotels
-1.4,-0.6,Performance,Choice Hotels
-0.6,-0.9,Respect,Choice Hotels
0.2,-0.8,Agility,Community Health Systems
0.5,1.4,Collaboration,Community Health Systems
0.3,1.6,Customer,Community Health Systems
-1.3,0.6,Diversity,Community Health Systems
1.9,-0.3,Execution,Community Health Systems
-1.3,0.4,Innovation,Community Health Systems
0.4,-0.4,Integrity,Community Health Systems
-1.2,-1.2,Performance,Community Health Systems
0.5,-1.3,Respect,Community Health Systems
2,-1.1,Agility,Chubb
0.5,0.8,Collaboration,Chubb
-0.9,0.9,Customer,Chubb
-0.4,1.9,Diversity,Chubb
1.3,-0.9,Execution,Chubb
-1.3,-0.8,Innovation,Chubb
-0.7,-0.2,Integrity,Chubb
-0.3,0.3,Performance,Chubb
-0.2,-0.9,Respect,Chubb
1.2,-1.1,Agility,Cigna
0.8,0.9,Collaboration,Cigna
-0.2,1.1,Customer,Cigna
-1.2,0.5,Diversity,Cigna
1.8,-0.8,Execution,Cigna
-1.4,1.6,Innovation,Cigna
-0.4,-0.7,Integrity,Cigna
-0.1,-0.4,Performance,Cigna
-0.4,-1.3,Respect,Cigna
2.2,-1.9,Agility,Cisco Systems
0.7,0.8,Collaboration,Cisco Systems
-0.9,1,Customer,Cisco Systems
-0.8,0.6,Diversity,Cisco Systems
0.4,-0.2,Execution,Cisco Systems
0.6,1.3,Innovation,Cisco Systems
-0.9,-0.4,Integrity,Cisco Systems
-0.4,-1.2,Performance,Cisco Systems
-1,-0.1,Respect,Cisco Systems
2.3,-1.1,Agility,Citi
0.8,0.5,Collaboration,Citi
-0.5,0,Customer,Citi
-0.6,2.3,Diversity,Citi
0.6,-0.5,Execution,Citi
-1.1,0.7,Innovation,Citi
-0.6,-0.5,Integrity,Citi
-0.2,-0.5,Performance,Citi
-0.8,-1,Respect,Citi
0.5,-0.5,Agility,Citizens Bank
0,1,Collaboration,Citizens Bank
1.3,1.2,Customer,Citizens Bank
-1.2,1.9,Diversity,Citizens Bank
1.8,-0.9,Execution,Citizens Bank
-1.3,-0.4,Innovation,Citizens Bank
-0.1,-0.8,Integrity,Citizens Bank
-0.6,-0.7,Performance,Citizens Bank
-0.3,-0.8,Respect,Citizens Bank
2.1,-1.1,Agility,Citrix
0.9,1.2,Collaboration,Citrix
-1.1,-0.4,Customer,Citrix
-1.2,1.4,Diversity,Citrix
0.6,-0.9,Execution,Citrix
0.3,1.5,Innovation,Citrix
-0.8,-0.4,Integrity,Citrix
-0.3,-0.9,Performance,Citrix
-0.5,-0.4,Respect,Citrix
1.1,-1,Agility,Cleveland Clinic
0.7,0.5,Collaboration,Cleveland Clinic
1.3,0.7,Customer,Cleveland Clinic
-1.2,1.4,Diversity,Cleveland Clinic
1,-0.5,Execution,Cleveland Clinic
-0.5,1.6,Innovation,Cleveland Clinic
-0.7,-0.9,Integrity,Cleveland Clinic
-1.5,-0.9,Performance,Cleveland Clinic
-0.1,-0.9,Respect,Cleveland Clinic
2.3,-1.8,Agility,The Clorox Company
0.8,1,Collaboration,The Clorox Company
-1.2,1.1,Customer,The Clorox Company
-0.5,0.8,Diversity,The Clorox Company
0.4,-0.6,Execution,The Clorox Company
0.2,-0.7,Innovation,The Clorox Company
-0.6,0.9,Integrity,The Clorox Company
-0.5,-0.9,Performance,The Clorox Company
-0.9,0.2,Respect,The Clorox Company
1.4,-0.9,Agility,Coach
1.1,0.8,Collaboration,Coach
0.6,0.9,Customer,Coach
-1.1,-0.3,Diversity,Coach
1.1,-0.9,Execution,Coach
-1.3,2,Innovation,Coach
-0.6,-1.3,Integrity,Coach
-1,0.1,Performance,Coach
-0.2,-0.4,Respect,Coach
2,-1.5,Agility,Coca-Cola Company
0.3,0.7,Collaboration,Coca-Cola Company
-0.8,0.8,Customer,Coca-Cola Company
-0.5,1.4,Diversity,Coca-Cola Company
1.5,-0.1,Execution,Coca-Cola Company
-0.9,1.2,Innovation,Coca-Cola Company
-0.5,-0.5,Integrity,Coca-Cola Company
-0.8,-1.2,Performance,Coca-Cola Company
-0.4,-0.8,Respect,Coca-Cola Company
1.3,-0.5,Agility,Cognizant
-0.2,0.2,Collaboration,Cognizant
-0.2,0.9,Customer,Cognizant
-1.2,-0.3,Diversity,Cognizant
1.3,0.3,Execution,Cognizant
-0.2,2.2,Innovation,Cognizant
-0.8,-0.6,Integrity,Cognizant
1.2,-1,Performance,Cognizant
-1.2,-1.1,Respect,Cognizant
2.4,-1.6,Agility,Colgate-Palmolive
0.8,0.9,Collaboration,Colgate-Palmolive
-1.2,-0.3,Customer,Colgate-Palmolive
-0.4,1.4,Diversity,Colgate-Palmolive
-0.2,-0.9,Execution,Colgate-Palmolive
-0.1,-0.4,Innovation,Colgate-Palmolive
-0.4,1.1,Integrity,Colgate-Palmolive
0,-0.9,Performance,Colgate-Palmolive
-0.9,0.7,Respect,Colgate-Palmolive
2.2,-1.9,Agility,Collins Aerospace
0.1,0.1,Collaboration,Collins Aerospace
-1.4,0.1,Customer,Collins Aerospace
-0.6,0.3,Diversity,Collins Aerospace
1,-0.5,Execution,Collins Aerospace
0.1,1.4,Innovation,Collins Aerospace
-0.1,1.6,Integrity,Collins Aerospace
-0.7,-0.6,Performance,Collins Aerospace
-0.6,-0.4,Respect,Collins Aerospace
0.6,-0.6,Agility,Comcast
0.1,0.2,Collaboration,Comcast
2.1,-0.4,Customer,Comcast
-1.2,0.7,Diversity,Comcast
0.8,-0.6,Execution,Comcast
-0.8,2.5,Innovation,Comcast
0,-0.9,Integrity,Comcast
-1,-0.2,Performance,Comcast
-0.7,-0.6,Respect,Comcast
2,-1.1,Agility,Comerica
0.3,1.4,Collaboration,Comerica
1,0.6,Customer,Comerica
-0.8,1.9,Diversity,Comerica
0.8,-0.1,Execution,Comerica
-1.2,-0.9,Innovation,Comerica
-0.8,-0.5,Integrity,Comerica
-0.7,-0.6,Performance,Comerica
-0.6,-0.7,Respect,Comerica
0.5,-0.2,Agility,CompuCom
0,0,Collaboration,CompuCom
0.8,0.3,Customer,CompuCom
-1.6,0.2,Diversity,CompuCom
1.9,0.5,Execution,CompuCom
-1.3,2.3,Innovation,CompuCom
0.2,-1,Integrity,CompuCom
-0.3,-0.9,Performance,CompuCom
-0.1,-1.3,Respect,CompuCom
2.1,-0.8,Agility,Conagra Brands
0.6,0.8,Collaboration,Conagra Brands
-1.1,1.2,Customer,Conagra Brands
-0.8,0.2,Diversity,Conagra Brands
1.1,0,Execution,Conagra Brands
-0.9,1.6,Innovation,Conagra Brands
0,-1.6,Integrity,Conagra Brands
-0.5,-0.3,Performance,Conagra Brands
-0.5,-1.1,Respect,Conagra Brands
0.3,-0.1,Agility,Conduent
-0.5,1.1,Collaboration,Conduent
0.3,-0.4,Customer,Conduent
-1.1,0.6,Diversity,Conduent
1.2,-0.5,Execution,Conduent
-1.7,1.9,Innovation,Conduent
1.4,-1.4,Integrity,Conduent
-0.8,-0.2,Performance,Conduent
0.8,-1.1,Respect,Conduent
2.4,-1.1,Agility,ConocoPhillips
0.4,0.4,Collaboration,ConocoPhillips
-1.3,1.4,Customer,ConocoPhillips
-0.8,-0.5,Diversity,ConocoPhillips
0.5,-0.2,Execution,ConocoPhillips
-0.5,1.9,Innovation,ConocoPhillips
-0.2,-0.8,Integrity,ConocoPhillips
0,-1.1,Performance,ConocoPhillips
-0.5,0.1,Respect,ConocoPhillips
-0.2,-0.9,Agility,Convergys
-0.5,0.7,Collaboration,Convergys
1.3,0.3,Customer,Convergys
-1.1,1.7,Diversity,Convergys
0.9,-1,Execution,Convergys
-1.7,0.9,Innovation,Convergys
1,-1.1,Integrity,Convergys
-0.6,0.5,Performance,Convergys
0.9,-1.2,Respect,Convergys
0.2,-0.9,Agility,Costco Wholesale
0.1,1.6,Collaboration,Costco Wholesale
-0.4,2,Customer,Costco Wholesale
-0.9,-0.2,Diversity,Costco Wholesale
0.9,-1.1,Execution,Costco Wholesale
-1.6,-0.4,Innovation,Costco Wholesale
0.3,0.2,Integrity,Costco Wholesale
-0.6,-0.6,Performance,Costco Wholesale
2,-0.5,Respect,Costco Wholesale
2.1,-1.1,Agility,Covidien
0.4,0.1,Collaboration,Covidien
-0.8,2.1,Customer,Covidien
-1,-0.3,Diversity,Covidien
1.2,0.3,Execution,Covidien
-0.1,1.2,Innovation,Covidien
-0.5,-0.5,Integrity,Covidien
-1,-0.6,Performance,Covidien
-0.3,-1.1,Respect,Covidien
1.5,-1.2,Agility,Cox Communications
0,1.1,Collaboration,Cox Communications
1.2,-0.5,Customer,Cox Communications
-1.1,2.1,Diversity,Cox Communications
1.1,-1,Execution,Cox Communications
-1.1,0.3,Innovation,Cox Communications
0.3,-0.6,Integrity,Cox Communications
-1.2,-0.4,Performance,Cox Communications
-0.8,0.1,Respect,Cox Communications
2.2,-1.3,Agility,Credit Suisse
1.2,1.2,Collaboration,Credit Suisse
-1.1,1.2,Customer,Credit Suisse
-0.5,1.1,Diversity,Credit Suisse
0.3,-0.9,Execution,Credit Suisse
-0.7,0.9,Innovation,Credit Suisse
-0.7,-0.9,Integrity,Credit Suisse
0.1,-0.8,Performance,Credit Suisse
-0.6,-0.4,Respect,Credit Suisse
1.8,-1.2,Agility,CSAA Insurance Group
0.5,0.1,Collaboration,CSAA Insurance Group
-0.9,1.3,Customer,CSAA Insurance Group
-0.4,1.7,Diversity,CSAA Insurance Group
1.3,-0.8,Execution,CSAA Insurance Group
-0.3,-0.1,Innovation,CSAA Insurance Group
0.2,0.4,Integrity,CSAA Insurance Group
-1.2,0,Performance,CSAA Insurance Group
-1.1,-1.4,Respect,CSAA Insurance Group
1.8,-0.7,Agility,CSC
-0.1,0.8,Collaboration,CSC
0.4,0.5,Customer,CSC
-1.8,1.4,Diversity,CSC
1,0.3,Execution,CSC
-1.1,1.2,Innovation,CSC
0.2,-1.2,Integrity,CSC
0.2,-1.1,Performance,CSC
-0.4,-1.1,Respect,CSC
1.3,-1.4,Agility,Cummins
0.1,0.5,Collaboration,Cummins
-1.4,0.7,Customer,Cummins
1.8,2,Diversity,Cummins
0.6,-0.6,Execution,Cummins
-0.8,0,Innovation,Cummins
-0.4,0.5,Integrity,Cummins
-0.4,-1.3,Performance,Cummins
-0.9,-0.4,Respect,Cummins
-0.3,-0.6,Agility,CVS Health
-0.3,1.2,Collaboration,CVS Health
2,0.5,Customer,CVS Health
-1.1,0.5,Diversity,CVS Health
1.3,-0.9,Execution,CVS Health
-1.1,1.8,Innovation,CVS Health
0,-1,Integrity,CVS Health
-0.8,-0.6,Performance,CVS Health
0.2,-1,Respect,CVS Health
-0.7,-0.5,Agility,Dairy Queen
0,1.5,Collaboration,Dairy Queen
1.8,2,Customer,Dairy Queen
-0.5,-0.1,Diversity,Dairy Queen
0.6,-0.4,Execution,Dairy Queen
-1.3,-1,Innovation,Dairy Queen
-0.2,-0.2,Integrity,Dairy Queen
-1,-1,Performance,Dairy Queen
1.4,-0.4,Respect,Dairy Queen
0.9,-0.2,Agility,Danaher
-0.5,-0.5,Collaboration,Danaher
-0.9,-1.4,Customer,Danaher
-0.8,1.4,Diversity,Danaher
2.4,1.3,Execution,Danaher
-0.1,-0.8,Innovation,Danaher
-0.2,-0.5,Integrity,Danaher
-0.3,1.4,Performance,Danaher
-0.5,-0.6,Respect,Danaher
-0.3,-0.9,Agility,DaVita
0.6,1.5,Collaboration,DaVita
2.1,1.6,Customer,DaVita
-1.1,-0.7,Diversity,DaVita
0.7,-0.4,Execution,DaVita
-1.3,1.1,Innovation,DaVita
0.4,-0.8,Integrity,DaVita
-0.8,-0.5,Performance,DaVita
-0.2,-0.8,Respect,DaVita
2.2,-1.4,Agility,Dell
0.8,0.4,Collaboration,Dell
-0.4,0.7,Customer,Dell
-1.2,1.6,Diversity,Dell
0.8,-0.3,Execution,Dell
-0.3,1.1,Innovation,Dell
-0.7,-0.3,Integrity,Dell
-0.3,-0.5,Performance,Dell
-0.9,-1.4,Respect,Dell
1.4,-0.8,Agility,Deloitte
1,0.5,Collaboration,Deloitte
-0.1,0.5,Customer,Deloitte
-0.9,1.4,Diversity,Deloitte
0.8,-0.4,Execution,Deloitte
-1.2,1.7,Innovation,Deloitte
-0.8,-1,Integrity,Deloitte
1.1,-1,Performance,Deloitte
-1.2,-1,Respect,Deloitte
1.5,-1.4,Agility,Delta Air Lines
0.3,1.2,Collaboration,Delta Air Lines
0.5,1.7,Customer,Delta Air Lines
-0.6,0.8,Diversity,Delta Air Lines
0.6,-0.9,Execution,Delta Air Lines
-2,0,Innovation,Delta Air Lines
0.1,-1.1,Integrity,Delta Air Lines
-1.1,-0.1,Performance,Delta Air Lines
0.7,-0.3,Respect,Delta Air Lines
2.3,-1,Agility,Deutsche Bank
0.6,0.4,Collaboration,Deutsche Bank
-1.1,1.2,Customer,Deutsche Bank
-0.4,1.9,Diversity,Deutsche Bank
0.7,-0.6,Execution,Deutsche Bank
-0.8,0.6,Innovation,Deutsche Bank
-0.6,-0.9,Integrity,Deutsche Bank
0,-0.6,Performance,Deutsche Bank
-0.8,-1,Respect,Deutsche Bank
1.1,-0.6,Agility,Diebold Nixdorf
